Account,date,n_trades,volume_usd,avg_trade_size_usd,realized_pnl,fees,n_buy,n_sell,n_realized_trades,win_rate,long_short_ratio,net_pnl_after_fees,classification,sentiment_simple,value
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-21,53,482127.94,9096.75358490566,6017.309216,168.74476099999998,11,42,7.0,1.0,0.2619047619047619,5848.564455,Extreme Greed,Greed,76
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-05-22,6,44995.29,7499.215,0.0,15.748349000000001,0,6,,,0.0,-15.748349000000001,Extreme Greed,Greed,76
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-07,52,785972.7,15114.859615384614,7329.223137999999,275.090432,39,13,30.0,1.0,3.0,7054.132705999999,Extreme Greed,Greed,77
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-08,7,45002.65,6428.95,0.0,15.750927,7,0,,,,-15.750927,Greed,Greed,72
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-09,5,20999.96,4199.992,0.0,7.349985,5,0,,,,-7.349985,Extreme Greed,Greed,75
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-10,4,24000.3,6000.075,0.0,8.400105,4,0,,,,-8.400105,Greed,Greed,72
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-11,21,276003.46,13143.021904761907,0.0,96.60119399999999,21,0,,,,-96.60119399999999,Greed,Greed,74
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-14,16,97988.96,6124.31,0.0,34.296119,16,0,,,,-34.296119,Greed,Greed,74
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-15,38,592097.63,15581.516578947369,2084.433906,207.234159,9,29,29.0,1.0,0.3103448275862069,1877.1997470000001,Greed,Greed,74
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-17,14,252491.58,18035.112857142856,1268.7590360000002,88.37205,8,6,5.0,0.8,1.3333333333333333,1180.3869860000002,Greed,Greed,71
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-18,7,62998.22,8999.745714285715,0.0,22.049377,7,0,,,,-22.049377,Greed,Greed,74
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-19,17,190061.52,11180.089411764706,2053.973644,66.52153,0,17,17.0,1.0,0.0,1987.4521140000002,Greed,Greed,64
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-20,4,29997.36,7499.34,0.0,10.499073,0,4,,,0.0,-10.499073,Greed,Greed,60
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-21,11,74216.28,6746.9345454545455,773.5582039999999,25.975694999999998,11,0,3.0,1.0,,747.582509,Greed,Greed,63
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-22,3,18000.21,6000.07,0.0,6.300072,3,0,,,,-6.300072,Neutral,Neutral,53
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-24,21,252007.37,12000.350952380952,0.0,88.202567,21,0,,,,-88.202567,Neutral,Neutral,51
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-26,31,364194.84,11748.220645161291,4197.732182,127.46818,0,31,21.0,1.0,0.0,4070.264002,Neutral,Neutral,46
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-27,12,119990.08,9999.173333333334,0.0,41.996528,0,12,,,0.0,-41.996528,Fear,Fear,40
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-29,17,223530.97,13148.880588235294,1842.738325,78.235829,16,1,13.0,1.0,16.0,1764.502496,Fear,Fear,30
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-06-30,3,29999.27,9999.756666666666,0.0,10.499745,3,0,,,,-10.499745,Neutral,Neutral,47
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-01,13,97200.55,7476.965384615385,1202.488212,34.02019,2,11,9.0,1.0,0.18181818181818182,1168.468022,Neutral,Neutral,53
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,10,103880.08,10388.008,1118.387284,36.358022,10,0,4.0,1.0,,1082.029262,Neutral,Neutral,50
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-04,14,255022.22,18215.87285714286,0.0,89.257767,14,0,,,,-89.257767,Fear,Fear,44
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-05,20,270298.74,13514.937,0.0,94.604547,20,0,,,,-94.604547,Fear,Fear,29
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-10,43,671917.11,15625.97930232558,11595.627026,235.170963,10,33,33.0,1.0,0.30303030303030304,11360.456063,Fear,Fear,28
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-11,19,169887.02,8941.422105263156,1876.812082,59.460443,10,9,9.0,1.0,1.1111111111111112,1817.351639,Fear,Fear,29
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-12,10,76006.65,7600.664999999999,0.0,26.602324,10,0,,,,-26.602324,Fear,Fear,25
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-13,13,138690.01,10668.462307692309,2678.839374,48.541495,0,13,13.0,1.0,0.0,2630.297879,Fear,Fear,25
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-14,7,84001.13,12000.16142857143,0.0,29.400389,0,7,,,0.0,-29.400389,Fear,Fear,33
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-15,21,167993.85,7999.7071428571435,0.0,58.797837,0,21,,,0.0,-58.797837,Neutral,Neutral,52
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-16,22,144000.57,6545.480454545454,0.0,50.400180999999996,0,22,,,0.0,-50.400180999999996,Greed,Greed,65
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-17,9,164934.32,18326.035555555558,0.0,57.727006,0,9,,,0.0,-57.727006,Greed,Greed,69
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-18,53,642356.11,12119.926603773585,2569.979964,224.82460700000001,53,0,41.0,1.0,,2345.155357,Greed,Greed,61
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-19,16,146122.7,9132.66875,2120.091364,51.142944,0,16,11.0,1.0,0.0,2068.9484199999997,Greed,Greed,60
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-20,9,99879.67,11097.74111111111,129.66130099999998,34.957881,9,0,4.0,1.0,,94.70341999999998,Greed,Greed,74
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-21,3,43995.18,14665.06,0.0,15.398312,3,0,,,,-15.398312,Greed,Greed,74
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-22,21,225308.37,10728.97,2273.29301,78.8579,10,11,13.0,1.0,0.9090909090909091,2194.43511,Greed,Greed,70
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-23,2,23994.47,11997.235,0.0,8.398064,2,0,,,,-8.398064,Greed,Greed,71
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-24,21,28011.55,1333.8833333333332,0.0,9.803735000000001,3,18,,,0.16666666666666666,-9.803735000000001,Greed,Greed,69
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-25,65,519380.44,7990.4683076923075,0.0,181.783127,65,0,,,,-181.783127,Greed,Greed,68
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-26,10,150009.65,15000.965,0.0,52.503374,10,0,,,,-52.503374,Greed,Greed,68
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-27,52,900756.99,17322.249807692308,6400.623656,315.264931,9,43,42.0,1.0,0.20930232558139536,6085.358725,Greed,Greed,72
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-28,3,31999.690000000002,10666.563333333334,0.0,11.199886000000001,3,0,,,,-11.199886000000001,Greed,Greed,71
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-30,6,36006.47,6001.078333333334,0.0,12.602264,6,0,,,,-12.602264,Greed,Greed,67
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-31,3,40005.14,13335.046666666667,0.0,14.001799000000002,3,0,,,,-14.001799000000002,Greed,Greed,61
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-01,13,143995.01,11076.539230769231,0.0,50.398244999999996,13,0,,,,-50.398244999999996,Neutral,Neutral,52
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-02,36,295967.16,8221.31,0.0,103.58846199999999,35,1,,,35.0,-103.58846199999999,Greed,Greed,57
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-03,13,112478.98999999999,8652.23,0.0,39.367641,13,0,,,,-39.367641,Fear,Fear,37
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-04,72,901551.09,12521.542916666665,-108604.496278,315.542853,12,60,60.0,0.0,0.2,-108920.03913100001,Fear,Fear,34
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-05,17,213738.16,12572.832941176472,-4779.219012,74.808346,15,2,2.0,0.0,7.5,-4854.027357999999,Fear,Fear,26
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-09,12,132038.0,11003.166666666666,11147.900554,46.213288,3,9,9.0,1.0,0.3333333333333333,11101.687265999999,Neutral,Neutral,48
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-11,8,40839.850000000006,5104.981250000001,847.7766200000001,14.293947,0,8,4.0,1.0,0.0,833.4826730000001,Fear,Fear,39
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-12,16,44140.4,2758.775,858.6705000000001,15.449134,16,0,6.0,1.0,,843.2213660000001,Fear,Fear,25
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-13,5,12500.1,2500.02,0.0,4.375033999999999,4,1,,,4.0,-4.375033999999999,Fear,Fear,31
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-08-14,9,64666.34,7185.148888888889,2168.9015130000003,22.633216,4,5,5.0,1.0,0.8,2146.268297,Fear,Fear,30
