date,n_trades,n_active_accounts,total_volume_usd,total_realized_pnl,avg_trade_size_usd,n_buy,n_sell,long_short_ratio,classification,sentiment_simple,value,win_rate
2024-10-13,10,1,60002.42,0.0,6000.242,10,0,inf,Neutral,Neutral,50,
2024-10-14,5,1,61916.020000000004,1913.61958,12383.204000000002,0,5,0.0,Neutral,Neutral,48,1.0
2024-10-15,7,1,81173.36,1170.2260760000001,11596.194285714286,3,4,0.75,Greed,Greed,65,1.0
2024-10-16,11,1,80229.17,219.480876,7293.560909090909,8,3,2.6666666666666665,Greed,Greed,73,1.0
2024-10-17,9,2,140531.75,36.11496,15614.638888888889,7,2,3.5,Greed,Greed,71,0.5
2024-10-18,6,1,120331.43000000001,333.219141,20055.238333333335,1,5,0.2,Greed,Greed,73,1.0
2024-10-19,4,1,99996.86,0.0,24999.215,4,0,inf,Greed,Greed,72,
2024-10-20,96,2,176447.86000000002,389.155797,1837.9985416666668,7,89,0.07865168539325842,Greed,Greed,73,1.0
2024-10-21,173,2,324117.99,2464.915564,1873.5143930635838,79,94,0.8404255319148937,Greed,Greed,72,1.0
2024-10-22,3,1,60000.36,0.0,20000.12,3,0,inf,Greed,Greed,70,
2024-10-23,18,1,210006.07,-46.489941,11667.003888888888,15,3,5.0,Greed,Greed,71,0.0
2024-10-25,30,2,427883.18,13235.862071,14262.772666666666,14,16,0.875,Greed,Greed,72,1.0
2024-10-27,4,1,90664.41,666.6623079999999,22666.1025,0,4,0.0,Greed,Greed,74,1.0
2024-10-28,13,2,121495.25,167.28016200000002,9345.788461538461,0,13,0.0,Greed,Greed,72,1.0
2024-10-29,53,2,613267.8099999999,801.170876,11571.09075471698,3,50,0.06,Greed,Greed,72,1.0
2024-10-30,25,1,11830.85,9.150023,473.23400000000004,8,17,0.47058823529411764,Extreme Greed,Greed,77,0.875
2024-10-31,48,3,896173.36,1214.043811,18670.278333333332,42,6,7.0,Extreme Greed,Greed,77,0.918918918918919
2024-11-01,23,2,260981.03,1040.475736,11347.001304347827,13,10,1.3,Extreme Greed,Greed,75,0.6
2024-11-02,2,1,40000.0,0.0,20000.0,2,0,inf,Greed,Greed,72,
2024-11-03,6,2,129055.66,0.0,21509.27666666667,6,0,inf,Greed,Greed,74,
2024-11-04,36,2,451811.97,2799.410474,12550.332499999999,13,23,0.5652173913043478,Greed,Greed,70,1.0
2024-11-05,10,1,200627.23,678.4759280000001,20062.723,5,5,1.0,Greed,Greed,70,1.0
2024-11-06,15,2,123906.9,2817.83723,8260.46,6,9,0.6666666666666666,Greed,Greed,70,0.7777777777777778
2024-11-07,113,3,111335.3,4493.353136,985.2681415929204,53,60,0.8833333333333333,Extreme Greed,Greed,77,1.0
2024-11-08,39,2,270700.44,-64.41354100000007,6941.036923076923,23,16,1.4375,Extreme Greed,Greed,75,0.375
2024-11-09,86,2,193384.41,102.90894,2248.655930232558,53,33,1.606060606060606,Extreme Greed,Greed,75,0.4318181818181818
2024-11-10,173,3,413636.7,991.114334,2390.963583815029,48,125,0.384,Extreme Greed,Greed,78,1.0
2024-11-11,373,4,1570572.42,6749.630996,4210.649919571046,94,279,0.33691756272401435,Extreme Greed,Greed,76,0.9583333333333334
2024-11-12,171,4,1226354.52,3494.399394,7171.663859649123,98,73,1.3424657534246576,Extreme Greed,Greed,80,0.8095238095238095
2024-11-13,48,5,515336.37,7846.402274,10736.174375,16,32,0.5,Extreme Greed,Greed,84,0.84375
2024-11-14,110,2,1008361.81,4563.509225,9166.925545454545,82,28,2.9285714285714284,Extreme Greed,Greed,88,1.0
2024-11-15,149,4,1427858.42,4140.740438,9582.942416107382,91,58,1.5689655172413792,Extreme Greed,Greed,80,1.0
2024-11-16,157,4,303296.07,2769.521909,1931.822101910828,77,80,0.9625,Extreme Greed,Greed,86,0.8275862068965517
2024-11-17,209,4,1215987.57,882.975285,5818.122344497608,73,136,0.5367647058823529,Extreme Greed,Greed,90,0.7903225806451613
2024-11-18,346,7,2084339.58,4470.815187,6024.102832369942,125,221,0.5656108597285068,Extreme Greed,Greed,83,0.7948717948717948
2024-11-19,305,5,628031.15,2958.268991,2059.118524590164,160,145,1.103448275862069,Extreme Greed,Greed,90,0.8982035928143712
2024-11-20,550,5,1999514.1199999999,4210.0928969999995,3635.480218181818,244,306,0.7973856209150327,Extreme Greed,Greed,83,0.7324414715719063
2024-11-21,535,5,598300.62,1692.430891,1118.3189158878504,235,300,0.7833333333333333,Extreme Greed,Greed,82,0.6470588235294118
2024-11-22,679,6,1646713.62,-18105.345617,2425.2041531664213,327,352,0.9289772727272727,Extreme Greed,Greed,94,0.59375
2024-11-23,363,4,516245.68,2901.531638,1422.1644077134986,150,213,0.704225352112676,Extreme Greed,Greed,93,0.8590604026845637
2024-11-24,172,3,664952.28,945.550386,3866.001627906977,103,69,1.4927536231884058,Extreme Greed,Greed,80,0.7540983606557377
2024-11-25,255,2,937410.87,5523.740734,3676.1210588235294,126,129,0.9767441860465116,Extreme Greed,Greed,82,0.7046979865771812
2024-11-26,302,4,1146902.44,1094.809359,3797.6901986754965,197,105,1.8761904761904762,Extreme Greed,Greed,79,0.6875
2024-11-27,213,2,1444242.53,-2654.495633,6780.481361502348,72,141,0.5106382978723404,Extreme Greed,Greed,75,0.5692307692307692
2024-11-28,332,5,1894225.15,-127075.39958499999,5705.497439759036,207,125,1.656,Extreme Greed,Greed,77,0.4780701754385965
2024-11-29,393,11,794262.91,176844.994152,2021.0252162849874,148,245,0.6040816326530613,Extreme Greed,Greed,78,0.9186602870813397
2024-11-30,373,8,1732193.7,37316.69352,4643.950938337802,103,270,0.3814814814814815,Extreme Greed,Greed,84,0.9075144508670521
2024-12-01,416,9,814711.82,40886.364494,1958.441875,144,272,0.5294117647058824,Extreme Greed,Greed,81,0.9525862068965517
